time,acc_x,acc_y,acc_z
14:28:09.602,0.59082,-0.69897,0.37012;
14:28:09.622,0.58936,-0.69922,0.37085;
14:28:09.642,0.58984,-0.69873,0.37524;
14:28:09.662,0.59009,-0.69995,0.37183;
14:28:09.682,0.59009,-0.69922,0.36987;
14:28:09.702,0.59009,-0.70093,0.37354;
14:28:09.722,0.58667,-0.69824,0.37939;
14:28:09.742,0.58618,-0.69580,0.38330;
14:28:09.762,0.58936,-0.69702,0.37402;
14:28:09.782,0.59180,-0.70361,0.36694;
14:28:09.802,0.59229,-0.70459,0.36694;
14:28:09.822,0.59106,-0.69946,0.36621;
14:28:09.842,0.59058,-0.69653,0.37256;
14:28:09.862,0.58936,-0.69336,0.37817;
14:28:09.882,0.58984,-0.69409,0.37524;
14:28:09.902,0.59253,-0.70093,0.37378;
14:28:09.922,0.59180,-0.70166,0.37500;
14:28:09.942,0.59106,-0.69629,0.37646;
14:28:09.962,0.59033,-0.69873,0.37646;
14:28:09.982,0.58887,-0.69946,0.37524;
14:28:10.002,0.58862,-0.69946,0.37256;
14:28:10.022,0.58594,-0.69824,0.36938;
14:28:10.042,0.58447,-0.69653,0.37378;
14:28:10.062,0.58594,-0.69556,0.38062;
14:28:10.082,0.58936,-0.69580,0.37427;
14:28:10.102,0.59229,-0.70142,0.37207;
14:28:10.122,0.59302,-0.70410,0.37207;
14:28:10.142,0.59058,-0.69800,0.37305;
14:28:10.162,0.58911,-0.69189,0.37500;
14:28:10.182,0.58862,-0.69336,0.37695;
14:28:10.202,0.58765,-0.69873,0.37598;
14:28:10.222,0.59009,-0.70190,0.37280;
14:28:10.242,0.59204,-0.70410,0.37012;
14:28:10.262,0.59131,-0.70142,0.37085;
14:28:10.282,0.58936,-0.69678,0.37109;
14:28:10.302,0.58887,-0.69434,0.37134;
14:28:10.322,0.58838,-0.69946,0.37427;
14:28:10.342,0.58740,-0.70288,0.37842;
14:28:10.362,0.59009,-0.70068,0.37695;
14:28:10.382,0.59180,-0.69800,0.36987;
14:28:10.402,0.59082,-0.69629,0.37036;
14:28:10.422,0.59009,-0.69922,0.37427;
14:28:10.442,0.58984,-0.70117,0.37427;
14:28:10.462,0.58911,-0.70093,0.37549;
14:28:10.482,0.58936,-0.69800,0.37500;
14:28:10.502,0.58862,-0.69897,0.37476;
14:28:10.522,0.58838,-0.70020,0.37158;
14:28:10.542,0.58960,-0.70044,0.36890;
14:28:10.562,0.59302,-0.70288,0.36865;
14:28:10.582,0.59229,-0.70435,0.36938;
14:28:10.602,0.58838,-0.70508,0.37061;
14:28:10.622,0.58765,-0.69946,0.37158;
14:28:10.642,0.59058,-0.70337,0.36328;
14:28:10.662,0.59155,-0.70508,0.36426;
14:28:10.682,0.58911,-0.70044,0.37695;
14:28:10.702,0.58911,-0.69409,0.38184;
14:28:10.722,0.58936,-0.69531,0.37891;
14:28:10.742,0.59082,-0.69873,0.37549;
14:28:10.762,0.59106,-0.70361,0.37695;
14:28:10.782,0.59106,-0.70093,0.37451;
14:28:10.802,0.59229,-0.69507,0.36670;
14:28:10.822,0.58887,-0.69629,0.36914;
14:28:10.842,0.58911,-0.69995,0.37256;
14:28:10.862,0.58862,-0.70215,0.37280;
14:28:10.882,0.58862,-0.70215,0.37598;
14:28:10.902,0.58936,-0.69849,0.37329;
14:28:10.922,0.59082,-0.69775,0.36987;
14:28:10.942,0.59131,-0.69849,0.37012;
14:28:10.962,0.59009,-0.70142,0.37036;
14:28:10.982,0.59009,-0.70337,0.36816;
14:28:11.002,0.58838,-0.69800,0.37134;
14:28:11.022,0.58643,-0.70068,0.37329;
14:28:11.042,0.58643,-0.69971,0.37329;
14:28:11.062,0.58789,-0.70117,0.37720;
14:28:11.082,0.58984,-0.70093,0.37085;
14:28:11.102,0.59326,-0.70117,0.36597;
